T,P,vf,vg,uf,hf,sf,ug,hg,sg
-144.27,0.00113,0.0016409,31.534,-131.27,-131.26,-0.8445,386.33,421.96,3.4481
-121.49,0.01113,0.0017137,3.75,-78.172,-78.153,-0.46515,408.84,450.58,3.0211
-113.35,0.02113,0.001742,2.0725,-59.128,-59.091,-0.34283,416.8,460.59,2.9093
-107.94,0.03113,0.0017616,1.449,-46.39,-46.336,-0.26444,422.03,467.13,2.8436
-103.79,0.04113,0.0017772,1.1203,-36.571,-36.498,-0.20574,425.99,472.07,2.7972
-100.38,0.05113,0.0017904,0.91639,-28.472,-28.381,-0.15839,429.22,476.07,2.7615
-97.468,0.06113,0.0018018,0.77702,-21.521,-21.41,-0.11848,431.95,479.45,2.7325
-94.909,0.07113,0.0018121,0.67552,-15.394,-15.265,-0.083856,434.33,482.38,2.7081
-92.619,0.08113,0.0018215,0.59818,-9.8928,-9.745,-0.053184,436.45,484.98,2.6872
-90.541,0.09113,0.0018301,0.53721,-4.8836,-4.7168,-0.025592,438.35,487.31,2.6688
-88.634,0.10113,0.0018382,0.48785,-0.27271,-0.086816,-0.00046852,440.09,489.43,2.6525
-74.85,0.20113,0.0019003,0.25757,33.508,33.89,0.17611,452.29,504.09,2.5473
-65.66,0.30113,0.0019462,0.17646,56.546,57.132,0.28973,460.03,513.17,2.4876
-58.553,0.40113,0.0019846,0.13455,74.687,75.483,0.37575,465.77,519.75,2.446
-52.67,0.50113,0.0020186,0.1088,89.946,90.957,0.44597,470.33,524.86,2.414
-47.604,0.60113,0.0020497,0.091306,103.28,104.51,0.50584,474.11,529,2.3879
-43.127,0.70113,0.0020789,0.078613,115.22,116.68,0.55836,477.31,532.43,2.3658
-39.098,0.80113,0.0021065,0.068964,126.11,127.8,0.60538,480.08,535.33,2.3466
-35.422,0.90113,0.0021331,0.061369,136.17,138.1,0.64812,482.49,537.79,2.3294
-32.033,1.0011,0.0021588,0.055228,145.56,147.72,0.68743,484.62,539.91,2.314
-28.883,1.1011,0.0021839,0.050154,154.39,156.79,0.72391,486.5,541.72,2.2998
-25.934,1.2011,0.0022085,0.045887,162.75,165.4,0.75804,488.17,543.28,2.2866
-23.159,1.3011,0.0022328,0.042245,170.7,173.61,0.79017,489.65,544.61,2.2742
-20.535,1.4011,0.0022568,0.039098,178.31,181.48,0.82058,490.96,545.74,2.2626
-18.044,1.5011,0.0022806,0.03635,185.62,189.05,0.84951,492.13,546.69,2.2515
-15.671,1.6011,0.0023044,0.033927,192.67,196.36,0.87713,493.15,547.48,2.2408
-13.402,1.7011,0.0023282,0.031774,199.47,203.43,0.90361,494.05,548.1,2.2306
-11.229,1.8011,0.002352,0.029846,206.07,210.31,0.92907,494.83,548.59,2.2206
-9.1421,1.9011,0.002376,0.028108,212.49,217,0.95363,495.5,548.94,2.2109
-7.1335,2.0011,0.0024002,0.026534,218.73,223.54,0.97738,496.05,549.15,2.2014
-5.1968,2.1011,0.0024246,0.025099,224.83,229.93,1.0004,496.51,549.24,2.1921
-3.3263,2.2011,0.0024493,0.023786,230.8,236.19,1.0228,496.86,549.21,2.1829
-1.5169,2.3011,0.0024744,0.022578,236.64,242.34,1.0446,497.11,549.07,2.1738
0.23573,2.4011,0.0025,0.021462,242.38,248.39,1.0659,497.27,548.8,2.1647
1.9355,2.5011,0.002526,0.020428,248.03,254.35,1.0867,497.33,548.42,2.1557
3.586,2.6011,0.0025527,0.019465,253.59,260.23,1.1071,497.29,547.92,2.1467
5.1902,2.7011,0.00258,0.018567,259.08,266.05,1.1271,497.15,547.3,2.1376
6.7511,2.8011,0.0026081,0.017726,264.5,271.81,1.1468,496.92,546.57,2.1285
8.2711,2.9011,0.0026371,0.016935,269.87,277.52,1.1663,496.58,545.72,2.1193
9.7525,3.0011,0.002667,0.01619,275.2,283.21,1.1855,496.15,544.73,2.1099
11.197,3.1011,0.0026981,0.015486,280.5,288.87,1.2045,495.6,543.62,2.1004
12.608,3.2011,0.0027304,0.014819,285.77,294.51,1.2233,494.94,542.38,2.0907
13.985,3.3011,0.0027642,0.014184,291.03,300.16,1.2421,494.16,540.99,2.0808
15.331,3.4011,0.0027997,0.013579,296.29,305.81,1.2608,493.26,539.45,2.0706
16.648,3.5011,0.002837,0.013001,301.56,311.49,1.2794,492.22,537.74,2.0601
17.936,3.6011,0.0028765,0.012446,306.85,317.21,1.2981,491.03,535.86,2.0493
19.196,3.7011,0.0029185,0.011912,312.18,322.98,1.3169,489.69,533.78,2.038
20.431,3.8011,0.0029634,0.011397,317.56,328.82,1.3359,488.16,531.48,2.0262
21.64,3.9011,0.0030117,0.010897,323.01,334.76,1.355,486.44,528.94,2.0138
22.825,4.0011,0.0030641,0.010409,328.55,340.8,1.3745,484.48,526.13,2.0006
23.986,4.1011,0.0031213,0.0099321,334.2,347,1.3943,482.25,522.99,1.9866
25.125,4.2011,0.0031844,0.0094615,340,353.38,1.4147,479.71,519.46,1.9715
26.241,4.3011,0.0032549,0.0089936,346,360,1.4358,476.77,515.45,1.955
27.336,4.4011,0.003335,0.0085229,352.27,366.95,1.4578,473.32,510.83,1.9367
28.408,4.5011,0.0034286,0.0080414,358.92,374.35,1.4813,469.19,505.39,1.9158
29.459,4.6011,0.0035424,0.0075352,366.16,382.46,1.507,464.05,498.72,1.8912
30.486,4.7011,0.0036922,0.0069754,374.5,391.86,1.5368,457.2,489.99,1.86
31.489,4.8011,0.0039332,0.0062688,385.64,404.52,1.5772,446.33,476.43,1.8132
