T,P,vf,uf,hf,sf, vg,ug,hg,sg
-182.8,1.13E-06,0.001535,-221.04,-221.04,-1.6712,22091,350.23,375.22,4.9281
-180.8,1.89E-06,0.0015399,-216.59,-216.59,-1.6225,13478,352.03,377.56,4.8111
-178.8,3.10E-06,0.0015449,-212.07,-212.07,-1.5741,8416.7,353.83,379.91,4.7002
-176.8,4.96E-06,0.00155,-207.49,-207.49,-1.526,5371.3,355.63,382.28,4.5949
-174.8,7.77E-06,0.0015552,-202.87,-202.87,-1.4786,3498.5,357.45,384.64,4.495
-172.8,1.19E-05,0.0015604,-198.21,-198.21,-1.4317,2322.8,359.27,387.02,4.4001
-170.8,1.80E-05,0.0015657,-193.54,-193.54,-1.3856,1570.2,361.1,389.41,4.3099
-168.8,2.67E-05,0.001571,-188.84,-188.84,-1.3401,1079.6,362.95,391.8,4.2242
-166.8,3.90E-05,0.0015765,-184.14,-184.14,-1.2955,754.21,364.8,394.21,4.1425
-164.8,5.60E-05,0.0015819,-179.43,-179.43,-1.2516,534.88,366.66,396.62,4.0649
-162.8,7.93E-05,0.0015874,-174.72,-174.72,-1.2086,384.75,368.53,399.05,3.9909
-160.8,0.00011077,0.001593,-170.01,-170.01,-1.1663,280.49,370.41,401.48,3.9204
-158.8,0.00015271,0.0015986,-165.3,-165.3,-1.1247,207.09,372.3,403.92,3.8531
-156.8,0.00020795,0.0016043,-160.6,-160.6,-1.084,154.73,374.2,406.38,3.789
-154.8,0.00027992,0.00161,-155.9,-155.9,-1.0439,116.93,376.11,408.84,3.7278
-152.8,0.00037266,0.0016157,-151.21,-151.21,-1.0046,89.312,378.04,411.32,3.6694
-150.8,0.00049099,0.0016215,-146.52,-146.52,-0.966,68.914,379.97,413.8,3.6136
-148.8,0.0006405,0.0016274,-141.84,-141.84,-0.92805,53.689,381.91,416.29,3.5603
-146.8,0.00082773,0.0016333,-137.17,-137.17,-0.89074,42.211,383.85,418.79,3.5093
-144.8,0.0010602,0.0016393,-132.5,-132.49,-0.85406,33.475,385.81,421.3,3.4606
-142.8,0.0013464,0.0016453,-127.83,-127.83,-0.81798,26.767,387.77,423.81,3.4139
-140.8,0.001696,0.0016514,-123.17,-123.16,-0.78248,21.571,389.74,426.33,3.3693
-138.8,0.0021202,0.0016576,-118.51,-118.5,-0.74753,17.513,391.71,428.85,3.3265
-136.8,0.0026309,0.0016638,-113.85,-113.84,-0.71311,14.32,393.69,431.37,3.2854
-134.8,0.003242,0.0016701,-109.19,-109.18,-0.6792,11.788,395.67,433.89,3.2461
-132.8,0.0039684,0.0016764,-104.53,-104.53,-0.64579,9.7658,397.65,436.41,3.2083
-130.8,0.0048267,0.0016828,-99.877,-99.869,-0.61284,8.1402,399.63,438.93,3.1721
-128.8,0.0058349,0.0016893,-95.219,-95.209,-0.58035,6.8249,401.62,441.44,3.1373
-126.8,0.0070129,0.0016959,-90.559,-90.547,-0.54829,5.7539,403.6,443.95,3.1038
-124.8,0.0083819,0.0017025,-85.897,-85.883,-0.51665,4.8768,405.57,446.45,3.0717
-122.8,0.0099651,0.0017092,-81.231,-81.214,-0.48541,4.1543,407.55,448.95,3.0407
-120.8,0.011787,0.001716,-76.561,-76.541,-0.45455,3.556,409.52,451.43,3.0109
-118.8,0.013874,0.0017229,-71.886,-71.862,-0.42406,3.058,411.48,453.91,2.9822
-116.8,0.016255,0.0017298,-67.205,-67.177,-0.39393,2.6413,413.44,456.37,2.9546
-114.8,0.018959,0.0017368,-62.517,-62.484,-0.36414,2.291,415.39,458.83,2.928
-112.8,0.022018,0.001744,-57.822,-57.784,-0.33468,1.9952,417.34,461.27,2.9023
