P,T,v,u,h,s
0.01,45.8,14.67,2437.2,2583.9,8.149
0.01,50.0,14.87,2443.3,2592.0,8.174
0.01,100.0,17.20,2515.5,2687.5,8.449
0.01,150.0,19.51,2587.9,2783.0,8.689
0.01,200.0,21.83,2661.3,2879.6,8.905
0.01,250.0,24.14,2736.1,2977.4,9.102
0.01,300.0,26.45,2812.3,3076.7,9.283
0.01,350.0,28.76,2890.0,3177.5,9.451
0.01,400.0,31.06,2969.3,3279.9,9.609
0.01,450.0,33.37,3050.3,3384.0,9.758
0.01,500.0,35.68,3132.9,3489.7,9.900
0.01,600.0,40.30,3303.3,3706.3,10.163
0.01,700.0,44.91,3480.8,3929.9,10.406
0.01,800.0,49.53,3665.3,4160.6,10.631
0.01,900.0,54.14,3856.9,4398.3,10.843
0.01,1000.0,58.76,4055.2,4642.8,11.043
0.05,81.3,3.240,2483.2,2645.2,7.593
0.05,100.0,3.419,2511.5,2682.4,7.695
0.05,150.0,3.890,2585.7,2780.2,7.941
0.05,200.0,4.356,2660.0,2877.8,8.159
0.05,250.0,4.821,2735.1,2976.1,8.357
0.05,300.0,5.284,2811.6,3075.8,8.539
0.05,350.0,5.747,2889.4,3176.8,8.708
0.05,400.0,6.209,2968.9,3279.3,8.866
0.05,450.0,6.672,3049.9,3383.5,9.015
0.05,500.0,7.134,3132.6,3489.3,9.157
0.05,600.0,8.058,3303.1,3706.0,9.420
0.05,700.0,8.981,3480.6,3929.7,9.663
0.05,800.0,9.905,3665.2,4160.4,9.888
0.05,900.0,10.828,3856.8,4398.2,10.100
0.05,1000.0,11.751,4055.1,4642.7,10.300
0.1,99.6,1.694,2505.6,2674.9,7.359
0.1,100.0,1.696,2506.2,2675.8,7.361
0.1,150.0,1.937,2582.9,2776.6,7.615
0.1,200.0,2.172,2658.2,2875.5,7.836
0.1,250.0,2.406,2733.9,2974.5,8.035
0.1,300.0,2.639,2810.6,3074.5,8.217
0.1,350.0,2.871,2888.7,3175.8,8.387
0.1,400.0,3.103,2968.3,3278.6,8.545
0.1,450.0,3.334,3049.4,3382.8,8.695
0.1,500.0,3.566,3132.2,3488.7,8.836
0.1,600.0,4.028,3302.8,3705.6,9.100
0.1,700.0,4.490,3480.4,3929.4,9.342
0.1,800.0,4.952,3665.0,4160.2,9.568
0.1,900.0,5.414,3856.6,4398.0,9.780
0.1,1000.0,5.875,4055.0,4642.6,9.980
0.2,120.20,0.886,2529.1,2706.2,7.127
0.2,150,0.960,2577.1,2769.1,7.281
0.2,200,1.081,2654.6,2870.7,7.508
0.2,250,1.199,2731.4,2971.2,7.710
0.2,300,1.316,2808.8,3072.1,7.894
0.2,350,1.433,2887.3,3173.9,8.064
0.2,400,1.549,2967.1,3277.0,8.224
0.2,450,1.666,3048.5,3381.6,8.373
0.2,500,1.781,3131.4,3487.7,8.515
0.2,600,2.013,3302.2,3704.8,8.779
0.2,700,2.244,3479.9,3928.8,9.022
0.2,800,2.476,3664.7,4159.8,9.248
0.2,900,2.707,3856.3,4397.6,9.460
0.2,1000,2.938,4054.8,4642.3,9.660
0.3,133.50,0.606,2543.2,2724.9,6.992
0.3,150,0.634,2571.0,2761.2,7.079
0.3,200,0.716,2651.0,2865.9,7.313
0.3,250,0.796,2728.9,2967.9,7.518
0.3,300,0.875,2807.0,3069.6,7.704
0.3,350,0.954,2885.9,3172.0,7.875
0.3,400,1.032,2966.0,3275.5,8.035
0.3,450,1.109,3047.5,3380.3,8.185
0.3,500,1.187,3130.6,3486.6,8.327
0.3,600,1.341,3301.6,3704.0,8.591
0.3,700,1.496,3479.5,3928.2,8.834
0.3,800,1.650,3664.3,4159.3,9.060
0.3,900,1.804,3856.0,4397.3,9.272
0.3,1000,1.958,4054.5,4642.0,9.473
0.4,146.6,0.462,2553.1,2738.1,6.896
0.4,150,0.471,2564.4,2752.8,6.931
0.4,200,0.534,2647.2,2860.9,7.172
0.4,250,0.595,2726.4,2964.5,7.380
0.4,300,0.655,2805.1,3067.1,7.568
0.4,350,0.714,2884.4,3170.0,7.740
0.4,400,0.773,2964.9,3273.9,7.900
0.4,450,0.831,3046.6,3379.0,8.051
0.4,500,0.889,3129.8,3485.5,8.193
0.4,600,1.006,3301.0,3703.2,8.458
0.4,700,1.122,3479.0,3927.6,8.701
0.4,800,1.237,3663.9,4158.8,8.927
0.4,900,1.353,3855.7,4396.9,9.139
0.4,1000,1.469,4054.3,4641.7,9.340
